station,network,year,doy,fpath
NCHR,NV,2017,164,/fd1/yiyu_data/Endeavour/data//NV/2017/164/NCHR.NV.2017.164
ENWF,NV,2017,171,/fd1/yiyu_data/Endeavour/data//NV/2017/171/ENWF.NV.2017.171
NCHR,NV,2017,171,/fd1/yiyu_data/Endeavour/data//NV/2017/171/NCHR.NV.2017.171
ENWF,NV,2017,170,/fd1/yiyu_data/Endeavour/data//NV/2017/170/ENWF.NV.2017.170
KEMF,NV,2017,170,/fd1/yiyu_data/Endeavour/data//NV/2017/170/KEMF.NV.2017.170
KEMO,NV,2017,170,/fd1/yiyu_data/Endeavour/data//NV/2017/170/KEMO.NV.2017.170
NCHR,NV,2017,170,/fd1/yiyu_data/Endeavour/data//NV/2017/170/NCHR.NV.2017.170
ENWF,NV,2017,166,/fd1/yiyu_data/Endeavour/data//NV/2017/166/ENWF.NV.2017.166
KEMF,NV,2017,166,/fd1/yiyu_data/Endeavour/data//NV/2017/166/KEMF.NV.2017.166
KEMO,NV,2017,166,/fd1/yiyu_data/Endeavour/data//NV/2017/166/KEMO.NV.2017.166
NCHR,NV,2017,166,/fd1/yiyu_data/Endeavour/data//NV/2017/166/NCHR.NV.2017.166
ENWF,NV,2017,163,/fd1/yiyu_data/Endeavour/data//NV/2017/163/ENWF.NV.2017.163
KEMF,NV,2017,163,/fd1/yiyu_data/Endeavour/data//NV/2017/163/KEMF.NV.2017.163
KEMO,NV,2017,163,/fd1/yiyu_data/Endeavour/data//NV/2017/163/KEMO.NV.2017.163
NCHR,NV,2017,163,/fd1/yiyu_data/Endeavour/data//NV/2017/163/NCHR.NV.2017.163
ENWF,NV,2017,167,/fd1/yiyu_data/Endeavour/data//NV/2017/167/ENWF.NV.2017.167
KEMF,NV,2017,167,/fd1/yiyu_data/Endeavour/data//NV/2017/167/KEMF.NV.2017.167
KEMO,NV,2017,167,/fd1/yiyu_data/Endeavour/data//NV/2017/167/KEMO.NV.2017.167
NCHR,NV,2017,167,/fd1/yiyu_data/Endeavour/data//NV/2017/167/NCHR.NV.2017.167
ENWF,NV,2017,169,/fd1/yiyu_data/Endeavour/data//NV/2017/169/ENWF.NV.2017.169
KEMF,NV,2017,169,/fd1/yiyu_data/Endeavour/data//NV/2017/169/KEMF.NV.2017.169
KEMO,NV,2017,169,/fd1/yiyu_data/Endeavour/data//NV/2017/169/KEMO.NV.2017.169
NCHR,NV,2017,169,/fd1/yiyu_data/Endeavour/data//NV/2017/169/NCHR.NV.2017.169
ENWF,NV,2017,168,/fd1/yiyu_data/Endeavour/data//NV/2017/168/ENWF.NV.2017.168
KEMF,NV,2017,168,/fd1/yiyu_data/Endeavour/data//NV/2017/168/KEMF.NV.2017.168
KEMO,NV,2017,168,/fd1/yiyu_data/Endeavour/data//NV/2017/168/KEMO.NV.2017.168
NCHR,NV,2017,168,/fd1/yiyu_data/Endeavour/data//NV/2017/168/NCHR.NV.2017.168
ENWF,NV,2017,173,/fd1/yiyu_data/Endeavour/data//NV/2017/173/ENWF.NV.2017.173
KEMF,NV,2017,173,/fd1/yiyu_data/Endeavour/data//NV/2017/173/KEMF.NV.2017.173
KEMO,NV,2017,173,/fd1/yiyu_data/Endeavour/data//NV/2017/173/KEMO.NV.2017.173
NCHR,NV,2017,173,/fd1/yiyu_data/Endeavour/data//NV/2017/173/NCHR.NV.2017.173
ENWF,NV,2017,174,/fd1/yiyu_data/Endeavour/data//NV/2017/174/ENWF.NV.2017.174
KEMF,NV,2017,174,/fd1/yiyu_data/Endeavour/data//NV/2017/174/KEMF.NV.2017.174
KEMO,NV,2017,174,/fd1/yiyu_data/Endeavour/data//NV/2017/174/KEMO.NV.2017.174
NCHR,NV,2017,174,/fd1/yiyu_data/Endeavour/data//NV/2017/174/NCHR.NV.2017.174
ENWF,NV,2017,172,/fd1/yiyu_data/Endeavour/data//NV/2017/172/ENWF.NV.2017.172
KEMF,NV,2017,172,/fd1/yiyu_data/Endeavour/data//NV/2017/172/KEMF.NV.2017.172
KEMO,NV,2017,172,/fd1/yiyu_data/Endeavour/data//NV/2017/172/KEMO.NV.2017.172
NCHR,NV,2017,172,/fd1/yiyu_data/Endeavour/data//NV/2017/172/NCHR.NV.2017.172
ENWF,NV,2017,175,/fd1/yiyu_data/Endeavour/data//NV/2017/175/ENWF.NV.2017.175
KEMF,NV,2017,175,/fd1/yiyu_data/Endeavour/data//NV/2017/175/KEMF.NV.2017.175
KEMO,NV,2017,175,/fd1/yiyu_data/Endeavour/data//NV/2017/175/KEMO.NV.2017.175
NCHR,NV,2017,175,/fd1/yiyu_data/Endeavour/data//NV/2017/175/NCHR.NV.2017.175
ENWF,NV,2017,176,/fd1/yiyu_data/Endeavour/data//NV/2017/176/ENWF.NV.2017.176
KEMF,NV,2017,176,/fd1/yiyu_data/Endeavour/data//NV/2017/176/KEMF.NV.2017.176
KEMO,NV,2017,176,/fd1/yiyu_data/Endeavour/data//NV/2017/176/KEMO.NV.2017.176
NCHR,NV,2017,176,/fd1/yiyu_data/Endeavour/data//NV/2017/176/NCHR.NV.2017.176
ENWF,NV,2017,177,/fd1/yiyu_data/Endeavour/data//NV/2017/177/ENWF.NV.2017.177
KEMF,NV,2017,177,/fd1/yiyu_data/Endeavour/data//NV/2017/177/KEMF.NV.2017.177
KEMO,NV,2017,177,/fd1/yiyu_data/Endeavour/data//NV/2017/177/KEMO.NV.2017.177
NCHR,NV,2017,177,/fd1/yiyu_data/Endeavour/data//NV/2017/177/NCHR.NV.2017.177
ENWF,NV,2017,178,/fd1/yiyu_data/Endeavour/data//NV/2017/178/ENWF.NV.2017.178
